Record_ID,Date,Area_ID,Population,Population_Density,Household_Size,Per_Capita_Income,Urban_Rural_Type,Temperature_C,Rainfall_mm,Humidity_percent,Season,Day_Type,Festival_Event,Water_Demand,Past_Waste_t1_tons,Past_Waste_t7_tons,Past_Waste_t30_tons,Organic_Waste_percent,Plastic_Waste_percent,Paper_Waste_percent,Other_Waste_percent,Collection_Frequency_per_week,Vehicle_ID,Vehicle_Capacity_kg,Current_Load_kg,Fuel_Consumption_km_per_l,Vehicle_Location_Lat,Vehicle_Location_Long,Traffic_Congestion_Level,Road_ID,Distance_km,Travel_Time_min,Road_Type,Road_Condition,One_Way_Flag,Toll_Road,Recycling_Rate_percent,Disaster_Event,Waste_Generated_tons,,,
1,12-04-2024,18,27836,22342.21099,6,355551,Rural,35.4,182.5,71.6,Summer,Weekday,None,3587.59,170.15,2269.39,5913.56,54.6,22.6,5.1,8.5,2,39,8000,1749.8,5.59,9.386663,73.671226,Medium,428,52.25,137.3,Highway,Average,1,0,30.7,None,55.67,,,
2,14-12-2024,94,291981,2249.977345,6,212644,Urban,39,217.5,32,Monsoon,Weekday,None,39731.59,95.29,2064.62,1735.5,48.5,19.5,13,12,4,8,2000,1373.6,3.57,23.077682,84.638999,Medium,208,46.16,74,Main_Road,Good,1,0,32.1,None,583.96,,,
3,27-09-2024,63,122028,20968.98171,5,240604,Urban,40.4,190.8,42.8,Summer,Weekend,None,16037.72,481.94,3201.32,6325.58,45.8,27.3,9.8,12.1,5,26,2000,3883.3,4.83,32.955564,87.506354,Low,429,19.99,78.8,Main_Road,Average,1,0,25.1,None,244.06,,,
4,16-04-2024,84,383625,2743.115318,7,138441,Urban,44.4,214.1,70.6,Summer,Weekend,None,53174.22,107.08,1273.05,13386.84,69.1,11.6,5.3,10.9,6,33,5000,4548.5,2.86,19.704641,93.446798,Medium,400,15.01,52.3,Main_Road,Good,1,0,12.5,None,767.25,,,
5,12-03-2024,25,392320,1875.35602,2,143303,Urban,19.6,174.5,70.8,Summer,Weekday,None,54468.41,406.74,889.9,5084.86,66.1,13.2,12.9,6.3,4,23,8000,6645.8,3.63,27.334965,85.022095,High,251,1.02,109.7,Main_Road,Good,1,0,15.4,None,784.64,,,
6,07-07-2024,12,130172,9399.794965,5,399521,Urban,38.1,250.7,47.2,Winter,Weekday,None,17139.16,70.92,2332.55,6303,58.1,12.3,10.2,13.4,5,45,8000,4342.8,5.21,10.103613,85.685712,High,180,42.91,117,Main_Road,Good,0,0,25.1,None,260.34,,,
7,21-01-2024,21,289922,23935.45918,7,263441,Rural,37,248,74.4,Monsoon,Weekday,None,39431.06,494.14,1721.27,11373.52,62.8,16,16.6,8.5,5,11,2000,4053.2,5.51,24.002875,80.611688,Medium,391,22.24,33.2,Highway,Poor,1,0,34.9,None,579.84,,,
8,12-04-2024,25,48130,24595.40833,4,290503,Urban,23.6,238.9,60.5,Winter,Weekday,None,6231.67,172.03,3162.54,3665.46,52.5,23.3,19.5,9.4,2,46,3000,2911.5,2.23,33.605337,83.744015,Low,163,10.37,93.9,Highway,Average,1,0,39.7,None,96.26,,,
9,01-05-2024,11,283852,5450.727274,5,155632,Rural,26.8,172.6,64.3,Summer,Weekday,None,38563.74,390.39,259.43,12444.71,61.7,12.9,11.8,10.4,3,17,8000,6527,4.4,35.95236,85.512565,Low,421,57.17,82.9,Main_Road,Average,1,0,22.4,None,567.7,,,
10,02-08-2024,64,374625,4141.620114,5,208824,Urban,20.3,298.2,51.6,Winter,Weekend,None,51821.54,80.49,2251.14,14573.45,48.2,17.1,18.9,5.2,6,40,5000,5527.1,3.5,13.60366,80.459241,Low,409,56.16,154.5,Main_Road,Average,1,1,49.1,None,749.25,,,
